"Product Name","Link","Price"
"3D printer + filament","https://us.store.bambulab.com/products/a1-mini?from=navigation","~$200"
"SEEEDUINO XIAO ESP32-S3","https://www.seeedstudio.com/XIAO-ESP32S3-p-5627.html?srsltid=AfmBOoqBfEDiZvbNk7LZFHwAuEi3fKD9daj6PHj2uwMCI9BWFPKkna4f","$8"
"Touch Display for SEEEDUINO XIAO","https://www.seeedstudio.com/1-28-Round-Touch-Display-for-Seeed-Studio-XIAO-ESP32.html","$18"
"2x Socket head cap screws SHCS.M316-50:","https://www.mcmaster.com/products/cap-screws/fastener-head-type~socket/?utm_term=socket+head+screws&matchtype=p&campaignid=22434467468&adgroupid=179512468004&location=9192110&gad_source=1&gad_campaignid=22434467468&gbraid=0AAAAACLR9bzJOZOt9iCXNA94BZV6c3SeH&gclid=Cj0KCQjwg5zTBhCLARIsAP2AFU4Gy_y1N_8peh6-0NIq77rD3HDhPujhlOnjsu-5q2jlNVQJ24aVfIgaAirbEALw_wcB&s=m3+x+16mm+socket+head+cap+screws","$5"
"MakerHawk 3.7V Lipo Battery 1000mAh 803040 Rechargeable Lithium Polymer Battery with Micro PH1.25 Connector Integrated Protection Circuit for Electronic Device","https://www.amazon.com/MakerHawk-Rechargeable-Integrated-Protection-Electronic/dp/B0DPZVBKMY/ref=pd_ybh_a_d_sccl_24/142-9413868-4563267?pd_rd_w=cHV8e&content-id=amzn1.sym.67f8cf21-ade4-4299-b433-69e404eeecf1&pf_rd_p=67f8cf21-ade4-4299-b433-69e404eeecf1&pf_rd_r=J69FJAQJ69GTG9YVSSGF&pd_rd_wg=bXAmZ&pd_rd_r=f3cf63e3-862b-4ed3-b8e8-d388627efd95&pd_rd_i=B0DPZVBKMY&th=1","$8"
